[ 2013-04-22T00:00:15+08:00 ] /attendance/teacher.php/Notice/sendmail/data/%7B%22classNotice-checkbox%22:%22on%22,%22grade%22:%222009%22,%22familyid%22:1,%22classid%22:2,%22noticeClassTitle%22:%22fsad%22,%22noticeClassContent%22:%22fas%22%7D | NOTIC: [2] mysql_num_rows(): supplied argument is not a valid MySQL result resource DbMysql.class.php 第 132 行.
[ 2013-04-22T00:00:16+08:00 ] /attendance/teacher.php/Notice/sendmail/data/%7B%22classNotice-checkbox%22:%22on%22,%22grade%22:%222009%22,%22familyid%22:1,%22classid%22:2,%22noticeClassTitle%22:%22fsad%22,%22noticeClassContent%22:%22fas%22%7D | NOTIC: [2] mysql_free_result(): supplied argument is not a valid MySQL result resource DbMysql.class.php 第 97 行.
[ 2013-04-22T00:00:16+08:00 ] /attendance/teacher.php/Notice/sendmail/data/%7B%22classNotice-checkbox%22:%22on%22,%22grade%22:%222009%22,%22familyid%22:1,%22classid%22:2,%22noticeClassTitle%22:%22fsad%22,%22noticeClassContent%22:%22fas%22%7D | SQL: INSERT INTO `notice` (`name`, `content`, `teacherid`, `studentid`, `time`, `status`, `isAll`) VALUES ('fsad', 'fas', '144200', '091402142', '1366560015', '0', '0') [ RunTime:0.042923s ]
[ 2013-04-22T00:00:16+08:00 ] /attendance/teacher.php/Notice/sendmail/data/%7B%22classNotice-checkbox%22:%22on%22,%22grade%22:%222009%22,%22familyid%22:1,%22classid%22:2,%22noticeClassTitle%22:%22fsad%22,%22noticeClassContent%22:%22fas%22%7D | NOTIC: [2] mysql_num_rows(): supplied argument is not a valid MySQL result resource DbMysql.class.php 第 132 行.
[ 2013-04-22T00:00:16+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366560016319&page=1&start=0&limit=20 | INFO: Tag[ route_check ] --START--
[ 2013-04-22T00:00:16+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366560016319&page=1&start=0&limit=20 | INFO: Run CheckRoute Behavior [ RunTime:0.001022s ]
[ 2013-04-22T00:00:16+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366560016319&page=1&start=0&limit=20 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001149s ]
[ 2013-04-22T00:00:16+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366560016319&page=1&start=0&limit=20 | INFO: Tag[ app_begin ] --START--
[ 2013-04-22T00:00:16+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366560016319&page=1&start=0&limit=20 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000983s ]
[ 2013-04-22T00:00:16+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366560016319&page=1&start=0&limit=20 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001072s ]
[ 2013-04-22T00:00:16+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366560016319&page=1&start=0&limit=20 | SQL: SHOW COLUMNS FROM `notice` [ RunTime:0.003633s ]
